,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Id,Species,Speciesnew
72,0.309959142,-0.585801043,0.136777681,0.132781114,72,Iris-versicolor,1
73,0.551485746,-1.27769204,0.646860193,0.394849102,73,Iris-versicolor,1
74,0.309959142,-0.585801043,0.533508524,0.00174712,74,Iris-versicolor,1
75,0.672249049,-0.355170711,0.306805185,0.132781114,75,Iris-versicolor,1
76,0.913775653,-0.124540379,0.36348102,0.263815108,76,Iris-versicolor,1
77,1.155302257,-0.585801043,0.590184358,0.263815108,77,Iris-versicolor,1
78,1.034538955,-0.124540379,0.703536028,0.65691709,78,Iris-versicolor,1
79,0.18919584,-0.355170711,0.420156854,0.394849102,79,Iris-versicolor,1
80,-0.173094066,-1.047061707,-0.146601492,-0.260320868,80,Iris-versicolor,1
81,-0.414620671,-1.508322372,0.023426012,-0.129286874,81,Iris-versicolor,1
82,-0.414620671,-1.508322372,-0.033249823,-0.260320868,82,Iris-versicolor,1
83,-0.052330764,-0.816431375,0.080101846,0.00174712,83,Iris-versicolor,1
84,0.18919584,-0.816431375,0.760211862,0.525883096,84,Iris-versicolor,1
85,-0.535383973,-0.124540379,0.420156854,0.394849102,85,Iris-versicolor,1
86,0.18919584,0.797980949,0.420156854,0.525883096,86,Iris-versicolor,1
87,1.034538955,0.106089953,0.533508524,0.394849102,87,Iris-versicolor,1
88,0.551485746,-1.738952704,0.36348102,0.132781114,88,Iris-versicolor,1
89,-0.293857369,-0.124540379,0.193453516,0.132781114,89,Iris-versicolor,1
90,-0.414620671,-1.27769204,0.136777681,0.132781114,90,Iris-versicolor,1
91,-0.414620671,-1.047061707,0.36348102,0.00174712,91,Iris-versicolor,1
92,0.309959142,-0.124540379,0.476832689,0.263815108,92,Iris-versicolor,1
93,-0.052330764,-1.047061707,0.136777681,0.00174712,93,Iris-versicolor,1
94,-1.018437181,-1.738952704,-0.259953162,-0.260320868,94,Iris-versicolor,1
95,-0.293857369,-0.816431375,0.25012935,0.132781114,95,Iris-versicolor,1
96,-0.173094066,-0.124540379,0.25012935,0.00174712,96,Iris-versicolor,1
97,-0.173094066,-0.355170711,0.25012935,0.132781114,97,Iris-versicolor,1
98,0.430722444,-0.355170711,0.306805185,0.132781114,98,Iris-versicolor,1
99,-0.897673879,-1.27769204,-0.429980666,-0.129286874,99,Iris-versicolor,1
100,-0.173094066,-0.585801043,0.193453516,0.132781114,100,Iris-versicolor,1
101,0.551485746,0.567350617,1.270294374,1.705189041,101,Iris-virginica,2
102,-0.052330764,-0.816431375,0.760211862,0.918985077,102,Iris-virginica,2
103,1.517592163,-0.124540379,1.21361854,1.181053065,103,Iris-virginica,2
104,0.551485746,-0.355170711,1.043591036,0.787951084,104,Iris-virginica,2
105,0.793012351,-0.124540379,1.156942705,1.312087059,105,Iris-virginica,2
106,2.121408674,-0.124540379,1.610349382,1.181053065,106,Iris-virginica,2
107,-1.139200483,-1.27769204,0.420156854,0.65691709,107,Iris-virginica,2
108,1.759118768,-0.355170711,1.440321878,0.787951084,108,Iris-virginica,2
109,1.034538955,-1.27769204,1.156942705,0.787951084,109,Iris-virginica,2
110,1.638355466,1.259241613,1.326970209,1.705189041,110,Iris-virginica,2
111,0.793012351,0.336720285,0.760211862,1.050019071,111,Iris-virginica,2
112,0.672249049,-0.816431375,0.873563532,0.918985077,112,Iris-virginica,2
113,1.155302257,-0.124540379,0.986915201,1.181053065,113,Iris-virginica,2
114,-0.173094066,-1.27769204,0.703536028,1.050019071,114,Iris-virginica,2
115,-0.052330764,-0.585801043,0.760211862,1.574155047,115,Iris-virginica,2
116,0.672249049,0.336720285,0.873563532,1.443121053,116,Iris-virginica,2
117,0.793012351,-0.124540379,0.986915201,0.787951084,117,Iris-virginica,2
118,2.242171976,1.720502277,1.667025217,1.312087059,118,Iris-virginica,2
119,2.242171976,-1.047061707,1.780376886,1.443121053,119,Iris-virginica,2
120,0.18919584,-1.969583036,0.703536028,0.394849102,120,Iris-virginica,2
121,1.276065559,0.336720285,1.10026687,1.443121053,121,Iris-virginica,2
122,-0.293857369,-0.585801043,0.646860193,1.050019071,122,Iris-virginica,2
123,2.242171976,-0.585801043,1.667025217,1.050019071,123,Iris-virginica,2
124,0.551485746,-0.816431375,0.646860193,0.787951084,124,Iris-virginica,2
125,1.034538955,0.567350617,1.10026687,1.181053065,125,Iris-virginica,2
126,1.638355466,0.336720285,1.270294374,0.787951084,126,Iris-virginica,2
127,0.430722444,-0.585801043,0.590184358,0.787951084,127,Iris-virginica,2
128,0.309959142,-0.124540379,0.646860193,0.787951084,128,Iris-virginica,2
129,0.672249049,-0.585801043,1.043591036,1.181053065,129,Iris-virginica,2
130,1.638355466,-0.124540379,1.156942705,0.525883096,130,Iris-virginica,2
131,1.87988207,-0.585801043,1.326970209,0.918985077,131,Iris-virginica,2
132,2.483698581,1.720502277,1.496997713,1.050019071,132,Iris-virginica,2
133,0.672249049,-0.585801043,1.043591036,1.312087059,133,Iris-virginica,2
134,0.551485746,-0.585801043,0.760211862,0.394849102,134,Iris-virginica,2
135,0.309959142,-1.047061707,1.043591036,0.263815108,135,Iris-virginica,2
136,2.242171976,-0.124540379,1.326970209,1.443121053,136,Iris-virginica,2
137,0.551485746,0.797980949,1.043591036,1.574155047,137,Iris-virginica,2
138,0.672249049,0.106089953,0.986915201,0.787951084,138,Iris-virginica,2
139,0.18919584,-0.124540379,0.590184358,0.787951084,139,Iris-virginica,2
140,1.276065559,0.106089953,0.930239366,1.181053065,140,Iris-virginica,2
141,1.034538955,0.106089953,1.043591036,1.574155047,141,Iris-virginica,2
142,1.276065559,0.106089953,0.760211862,1.443121053,142,Iris-virginica,2
143,-0.052330764,-0.816431375,0.760211862,0.918985077,143,Iris-virginica,2
144,1.155302257,0.336720285,1.21361854,1.443121053,144,Iris-virginica,2
145,1.034538955,0.567350617,1.10026687,1.705189041,145,Iris-virginica,2
146,1.034538955,-0.124540379,0.816887697,1.443121053,146,Iris-virginica,2
147,0.551485746,-1.27769204,0.703536028,0.918985077,147,Iris-virginica,2
148,0.793012351,-0.124540379,0.816887697,1.050019071,148,Iris-virginica,2
149,0.430722444,0.797980949,0.930239366,1.443121053,149,Iris-virginica,2
150,0.068432538,-0.124540379,0.760211862,0.787951084,150,Iris-virginica,2
